numprocs=1
=== L5 recurrence grid sweep (1 ranks, scale=0.05, tstop=20000 ms, 28 points) ===
g_l5_rec  tau2      taur      | L5 spks   n_ev      dur_ms    cv_int   | so_rms    n_spin    spin_cv   | tot_spks 
----------------------------------------------------------------------------------------------------------------
0.0130    100       80        | 1513      27        273.5     0.028    | 0.1327    27        0.197     | 18692    
0.0130    100       120       | 1267      27        226.5     0.030    | 0.0150    27        0.198     | 12934    
0.0130    100       160       | 1189      26        225.8     0.025    | 0.0199    27        0.197     | 12510    
0.0130    100       200       | 1216      27        232.5     0.025    | 0.0161    27        0.197     | 12566    
0.0130    125       80        | 2829      2         9813.3    nan      | 0.1473    22        0.524     | 26758    
0.0130    125       120       | 2015      17        889.1     0.373    | 0.1180    30        0.211     | 19923    
0.0130    125       160       | 1744      21        637.5     0.410    | 0.0229    29        0.197     | 15126    
0.0130    125       200       | 1515      26        346.5     0.152    | 0.0159    30        0.278     | 14067    
0.0130    150       80        | 3933      1         19960.6   nan      | 0.2035    15        0.832     | 39223    
0.0130    150       120       | 2656      1         19924.0   nan      | 0.2021    26        0.377     | 27180    
0.0130    150       160       | 2185      3         6460.9    0.804    | 0.0776    31        0.194     | 18889    
0.0130    150       200       | 1796      16        926.8     0.523    | 0.0358    29        0.267     | 16123    
0.0130    175       80        | 4391      1         19960.8   nan      | 0.2188    13        0.838     | 43250    
0.0130    175       120       | 3162      1         19924.7   nan      | 0.2243    19        0.815     | 31148    
0.0130    175       160       | 2589      1         19928.8   nan      | 0.1421    22        0.598     | 23909    
0.0130    175       200       | 2139      1         19953.8   nan      | 0.0630    29        0.309     | 18818    
0.0130    200       80        | 4695      1         19932.0   nan      | 0.1897    17        0.762     | 44660    
0.0130    200       120       | 3466      1         19925.6   nan      | 0.2147    15        1.083     | 35290    
0.0130    200       160       | 2808      1         19954.9   nan      | 0.1098    23        0.449     | 26131    
0.0130    200       200       | 2440      1         19917.0   nan      | 0.1043    28        0.490     | 20796    
0.0130    225       80        | 5128      1         19941.1   nan      | 0.1756    15        0.732     | 48224    
0.0130    225       120       | 3768      1         19948.4   nan      | 0.2076    14        0.741     | 38266    
0.0130    225       160       | 3055      1         19960.8   nan      | 0.1257    15        0.738     | 28565    
0.0130    225       200       | 2625      1         19923.3   nan      | 0.0978    27        0.454     | 22948    
0.0130    250       80        | 5690      1         19951.7   nan      | 0.2211    15        0.792     | 49441    
0.0130    250       120       | 3900      1         19954.9   nan      | 0.1883    19        0.786     | 38673    
0.0130    250       160       | 3162      1         19918.9   nan      | 0.1469    20        0.614     | 29641    
0.0130    250       200       | 2730      1         19945.4   nan      | 0.0992    22        0.624     | 24175    
----------------------------------------------------------------------------------------------------------------
