numprocs=1
=== L5 recurrence grid sweep (1 ranks, scale=0.05, tstop=20000 ms, 25 points) ===
g_l5_rec  tau2      taur      | L5 spks   n_ev      dur_ms    cv_int   | tot_spks 
------------------------------------------------------------------------------------------
0.0130    100       80        | 1513      27        273.5     0.028    | 18692    
0.0130    100       100       | 1477      27        319.4     0.030    | 13810    
0.0130    100       120       | 1267      27        226.5     0.030    | 12934    
0.0130    100       140       | 1195      26        224.7     0.026    | 12536    
0.0130    100       160       | 1189      26        225.8     0.025    | 12510    
0.0130    115       80        | 1966      23        503.2     0.426    | 20181    
0.0130    115       100       | 1667      27        359.7     0.043    | 15202    
0.0130    115       120       | 1647      26        400.5     0.151    | 14469    
0.0130    115       140       | 1623      26        412.1     0.146    | 14612    
0.0130    115       160       | 1524      27        322.2     0.035    | 14038    
0.0130    130       80        | 3199      1         19960.9   nan      | 33591    
0.0130    130       100       | 2353      13        1302.3    0.579    | 22725    
0.0130    130       120       | 2195      10        1731.6    0.443    | 22215    
0.0130    130       140       | 1981      17        893.0     0.679    | 20247    
0.0130    130       160       | 1829      22        630.8     0.417    | 15902    
0.0130    150       80        | 3933      1         19960.6   nan      | 39223    
0.0130    150       100       | 3177      1         19960.9   nan      | 30672    
0.0130    150       120       | 2656      1         19924.0   nan      | 27180    
0.0130    150       140       | 2446      1         19928.3   nan      | 23985    
0.0130    150       160       | 2185      3         6460.9    0.804    | 18889    
0.0130    175       80        | 4391      1         19960.8   nan      | 43250    
0.0130    175       100       | 3637      1         19922.7   nan      | 35667    
0.0130    175       120       | 3162      1         19924.7   nan      | 31148    
0.0130    175       140       | 2821      1         19947.9   nan      | 27695    
0.0130    175       160       | 2589      1         19928.8   nan      | 23909    
------------------------------------------------------------------------------------------
